month,level_1,level_2,level_3,value
1979-05,Total International Visitor Arrivals By Country Of Residence,Asia,ASEAN,73860.8
1979-05,Total International Visitor Arrivals By Country Of Residence,Asia,Japan,19782.2
1979-05,Total International Visitor Arrivals By Country Of Residence,Asia,Hong Kong,5064.3
1979-05,Total International Visitor Arrivals By Country Of Residence,Asia,Taiwan,4437.8
1979-05,Total International Visitor Arrivals By Country Of Residence,Asia,India,5594.1
1979-05,Total International Visitor Arrivals By Country Of Residence,Asia,Pakistan,1028.4
1979-05,Total International Visitor Arrivals By Country Of Residence,Asia,Sri Lanka,1102.6
1979-05,Total International Visitor Arrivals By Country Of Residence,Europe,United Kingdom,9347.4
1979-05,Total International Visitor Arrivals By Country Of Residence,Europe,Germany,5144.1
1979-05,Total International Visitor Arrivals By Country Of Residence,Europe,France,3042.8
1979-05,Total International Visitor Arrivals By Country Of Residence,Europe,Italy,1662.9
1979-05,Total International Visitor Arrivals By Country Of Residence,Europe,Netherlands,3467.6
1979-05,Total International Visitor Arrivals By Country Of Residence,Europe,Switzerland,1670
1979-05,Total International Visitor Arrivals By Country Of Residence,Europe,CIS & Eastern Europe,716.3
1979-05,Total International Visitor Arrivals By Country Of Residence,Americas,USA,9926.5
1979-05,Total International Visitor Arrivals By Country Of Residence,Americas,Canada,1577.9
1979-05,Total International Visitor Arrivals By Country Of Residence,Oceania,Australia,18617.1
1979-05,Total International Visitor Arrivals By Country Of Residence,Oceania,New Zealand,5113.3
1979-06,Total International Visitor Arrivals By Country Of Residence,Asia,ASEAN,76311.9
1979-06,Total International Visitor Arrivals By Country Of Residence,Asia,Japan,22173.6
1979-06,Total International Visitor Arrivals By Country Of Residence,Asia,Hong Kong,4810.3
1979-06,Total International Visitor Arrivals By Country Of Residence,Asia,Taiwan,4396.3
1979-06,Total International Visitor Arrivals By Country Of Residence,Asia,India,5414.2
1979-06,Total International Visitor Arrivals By Country Of Residence,Asia,Pakistan,914.4
1979-06,Total International Visitor Arrivals By Country Of Residence,Asia,Sri Lanka,1182.3
1979-06,Total International Visitor Arrivals By Country Of Residence,Europe,United Kingdom,10507
1979-06,Total International Visitor Arrivals By Country Of Residence,Europe,Germany,5429.4
1979-06,Total International Visitor Arrivals By Country Of Residence,Europe,France,3716.4
1979-06,Total International Visitor Arrivals By Country Of Residence,Europe,Italy,1859.6
1979-06,Total International Visitor Arrivals By Country Of Residence,Europe,Netherlands,3943.1
1979-06,Total International Visitor Arrivals By Country Of Residence,Europe,Switzerland,1613.3
1979-06,Total International Visitor Arrivals By Country Of Residence,Europe,CIS & Eastern Europe,1308.7
1979-06,Total International Visitor Arrivals By Country Of Residence,Americas,USA,9771.8
1979-06,Total International Visitor Arrivals By Country Of Residence,Americas,Canada,1489
1979-06,Total International Visitor Arrivals By Country Of Residence,Oceania,Australia,17038.8
1979-06,Total International Visitor Arrivals By Country Of Residence,Oceania,New Zealand,5157.9
1979-07,Total International Visitor Arrivals By Country Of Residence,Asia,ASEAN,78504.2
1979-07,Total International Visitor Arrivals By Country Of Residence,Asia,Japan,21873.4
1979-07,Total International Visitor Arrivals By Country Of Residence,Asia,Hong Kong,5049.4
1979-07,Total International Visitor Arrivals By Country Of Residence,Asia,Taiwan,4569
1979-07,Total International Visitor Arrivals By Country Of Residence,Asia,India,5620.6
1979-07,Total International Visitor Arrivals By Country Of Residence,Asia,Pakistan,885.6
1979-07,Total International Visitor Arrivals By Country Of Residence,Asia,Sri Lanka,1103.4
1979-07,Total International Visitor Arrivals By Country Of Residence,Europe,United Kingdom,9454.9
1979-07,Total International Visitor Arrivals By Country Of Residence,Europe,Germany,4788.5
1979-07,Total International Visitor Arrivals By Country Of Residence,Europe,France,3973.9
1979-07,Total International Visitor Arrivals By Country Of Residence,Europe,Italy,1842.6
1979-07,Total International Visitor Arrivals By Country Of Residence,Europe,Netherlands,3541.2
1979-07,Total International Visitor Arrivals By Country Of Residence,Europe,Switzerland,1557.6
1979-07,Total International Visitor Arrivals By Country Of Residence,Europe,CIS & Eastern Europe,1141.6
1979-07,Total International Visitor Arrivals By Country Of Residence,Americas,USA,9939.9
1979-07,Total International Visitor Arrivals By Country Of Residence,Americas,Canada,1399.3
1979-07,Total International Visitor Arrivals By Country Of Residence,Oceania,Australia,15111.6
1979-07,Total International Visitor Arrivals By Country Of Residence,Oceania,New Zealand,5292.7
1979-08,Total International Visitor Arrivals By Country Of Residence,Asia,ASEAN,75525.3
1979-08,Total International Visitor Arrivals By Country Of Residence,Asia,Japan,19757.3
1979-08,Total International Visitor Arrivals By Country Of Residence,Asia,Hong Kong,5072.2
1979-08,Total International Visitor Arrivals By Country Of Residence,Asia,Taiwan,4888.8
